Navn;Møde;Broder Bay;Broder Borum;Broder Goul;Broder Gyldenløve;Broder Holmberg;Broder Kirk;Broder Kruse;Broder Løvstad;Broder Olsen;Broder Ringtved;Broder Søgaard;Broder Veje;Broder Nielsen;Broder Bach;Godt og vel;Præcis;Bedste øl;std. Afv.;Stiv?;Bryggeri;Vol;Type
Kyritzer Mord und Totschlag;2014;5;4;;4.5;5;4.5;;3.5;5;4;;;;;4.5;4.4375;;0.526634361;;;;
Funky Buddha Hop Gun IPA;2014;3;3;;2.5;4.5;2;;4.5;5;3;;;;;3.5;3.4375;;1.013579671;;;;
Kapuziner Weissbier;2014;2;3;;2;2;3.5;;2.5;3;2;;;;;2.5;2.5;;0.559016994;;;;
Aecht Schlenkerla Rauchbier;2014;4.5;3.5;;5;5.5;2.5;;5;5.5;5;;;;;4.5;4.5625;;0.982264603;;;;
Maisels Weisse;2014;3;2;;3.5;3.5;3.5;;4;3.5;3;;;;;3.5;3.25;;0.559016994;;;;
AC/DC Premium Beer;2014;3.5;1;;2;3;2.5;;1.5;3;2.5;;;;;2.5;2.375;;0.78062475;;;;
Echt Veldensteiner Landbier;2017;3;3;3;3;;3;3.5;;3;3;2.5;;;;3.0;3;;0.23570226;;;;
Kapuziner Weissbier;2017;3.5;4;4.5;4.5;;4;4;;4;5;4.5;;;;4.0;4.222222222;;0.41573971;;;;
Doppel-Hirsch;2017;3.5;2.5;4;2;;2;4.5;;4.5;3.5;2.5;;;;3.0;3.222222222;;0.94607702;;;;
Allgäuer Öko Bier - Helles Export;2017;3;2.5;2.5;3.5;;3;2.5;;3;2.5;4;;;;3.0;2.944444444;;0.496903995;;;;
Das Schwarze;2017;3.5;1;3;2.5;;1.5;2.5;;4;3;3.5;;;;2.5;2.722222222;;0.916245695;;;;
Keller Bier (st. georgen bräu);2017;4;4.5;4.5;5;;5.5;4;;5;2.5;4;;;;4.5;4.333333333;;0.816496581;;;;
Mönchshof Kellerbier;2017;4;4;3;2.5;;4.5;4.5;;5;3;5;;;3.4;4.0;3.944444444;;0.864241621;;;;
Störtebeker Brauspezialitäten;2017;4;3;4;5;;6;5;;5.5;4;4;;;;4.5;4.5;;0.881917104;;;;
Grevensteiner C&A. Veltins;F2018;2.5;2;2.5;2.5;2;3;3;;3;2.5;2;;;;2.5;2.5;;0.387298335;;;;
Ale Nr. 4. Påskebryg;F2018;3.5;4;4;5;4;4;3;;3.5;3.5;4;;;;4.0;3.85;;0.502493781;;;;
Delirium Tremes;F2018;6;2.5;4;3;5.5;3;5;;6;4.5;5;;;;4.5;4.45;;1.21346611;;;;
Westmalle. Trapist Trippel;F2018;5;4;5;5;6;3;4.5;;6;4.5;4.1;;;;4.5;4.71;;0.864233765;;;;
India Pale Ale. Voldby Købmandsgård v. Røde;F2018;3;3.5;2.5;2.5;2.5;4;3;;5;4;3.5;;;;3.5;3.35;;0.776208735;;;;
Sheltered Spirit. 14% vol.;F2018;2;6;1.5;4;1;0.5;1;;4.5;1.5;4.5;;;;2.5;2.65;;1.817278185;;;;
Nr. Nissum Håndbryg Honey Beer;E2018;4.5;3.5;4;5;;5;4;;4;;4;;;;4.5;4.25;;0.5;Nej;;;
Nr. Nissum Håndbryg Porse Ale;E2018;3;2;3;2;;1;1;;3;;1;;;;2.0;2;;0.866025404;Nej;;;
Kruse & Eg. Christmas Abbey Beer;E2018;3;2;3.5;2;;3;2;;1;;2;;;;2.5;2.3125;;0.747391296;Nej;;;
Nr. Nissum Håndbryg. Bryggerens IPA. Mørk IPA;E2018;0;5;5.5;1;;4;3;;2;;4;;;;3.0;3.0625;;1.810343545;Nej;;;
Kruse og Eg. Påskebryg Brown Ale;E2018;3;3.5;3;3;;2.5;2.5;;3.5;;4.5;;;;3.0;3.1875;;0.609174647;Nej;;;
Nr. Nissum Håndbryg. Morfars Go'nat Øl;E2018;4;5.5;5;5;;3.5;4.5;;4.5;;5;;;;4.5;4.625;;0.59947894;Ja;;;
Gentile. Birra Balladin ;F2019;4;3.5;3;3;1.5;;4.5;3.5;;2.5;3.5;3;;;3.0;3.2;;0.781024968;Nej;;;
Hipster Ale. Evil Twin Brewing;F2019;3;2.5;4.5;3.5;3;;2;4;;3;4.5;1;;;3.0;3.1;;1.044030651;Ja;;;
The Demon Ale: Mephistopheles. Avery Brewing Co.;F2019;2.5;0.5;5;2;6;;4;5;;5;5.5;4.5;;;4.0;4;;1.673320053;Nej;;;
Grand Prestige. Hertog Jan;F2019;2.5;2.5;2;2;2;;2;2.5;;2.5;2;3;;;2.5;2.3;;0.331662479;Nej;;;
Brown Ale. Small Batch Brewery;F2019;3;3.5;3.5;4;3;;3;4;;3.5;3;3.5;;;3.5;3.4;;0.374165739;Nej;;;
Supper Cinnamon. Birra Balladin;F2019;4;3.5;1.5;4;2;;4;4;;3;2;4;;;3.0;3.2;;0.953939201;Nej;;;
Viking Brown Ale. Hvide Sande;E2019;;4;3.5;4.5;3.5;;4;;2.5;;3;4;;;3.5;3.625;;0.59947894;Ja;;;
Æbleskrog Pale Ale. Hvide Sande;E2019;;3;3;3;5;;3.5;;2;;2;3;;;3.0;3.0625;;0.881670999;Ja;;;
Bersærk Pilsner. Hvide Sande;E2019;;4.5;4;4;4;;2;;3.5;;3.5;3.5;;;3.5;3.625;;0.695970545;Ja;;;
Tørfisk Pilsner. Hvide Sande;E2019;;4.5;2.5;4.5;4.5;;4.5;4.5;3.5;;4.5;4.5;;;4.0;4.166666667;;0.666666667;Ja;;;
Ulven Kommer. Hvide Sande;E2019;;2.5;3;5;4.5;;2;2.5;4.5;;4.5;2.5;;;3.5;3.444444444;;1.091493484;Nej;;;
Christmas Night Dubbel. Hvide Sande;E2019;;4.5;4;4.5;4;;1.5;1.5;3.5;;2;3.5;;;3.0;3.222222222;;1.15737037;Nej;;;
Schneider Weisse;F2020;4;5;;5.5;4;;4.5;5;5;5;5;4;5;;4.5;4.727272727;;0.509901951;Ja;G. Schneider & Sohn;8.20%;Weissbier
Delirium Nocturium;F2020;3.5;4;;2;3.5;;3;3.5;4;4.5;3;5.5;3.5;;3.5;3.636363636;;0.895823643;Nej;Huyghe;8.50%;Strong Dark Beer
Scottish Oat Stout;F2020;3.5;3.5;;4;5;;2.5;4.5;4;4;3;3;2.5;;3.5;3.590909091;;0.714142843;Nej;Belhaven Brewery;7.00%;Dark Ale
Thy Humle;F2020;4;2;;6;4.5;;3;4;5;5;5.5;3.5;5;;4.5;4.318181818;;1.145643924;Ja;Thy Bryghus;5.80%;Pilsner
La Trappe Quadrupel;F2020;4;3;;2.5;4;;3.5;5;5;3.5;5.5;6;5.5;;4.0;4.318181818;;1.077032961;Nej;Koningshoeven;10%;Trappist Quadrupel
Delirium Argentum;F2020;4;5.5;;3;4.5;;5;4.5;5.5;4.5;3;4;5;;4.5;4.409090909;;0.838152731;Ja;Huyghe;7%;IPA
Mekanikeren;E2020;3;3;3;2;2;;2.5;3.5;3;;2;2;2;3;2.5;2.583333333;;0.538516481;Nej;Syndikatet;4.00%;Golden Ale
Nordfeld Guld;E2020;4;4;3;4.5;5;;3.5;4;4;;4.5;4;5;5;4.0;4.208333333;;0.522015325;Ja;Bryghuset Møn;5.70%;Guldøl
Strandløven;E2020;3.5;3;3.5;3.5;4;;3;2.5;4.5;;2;3;4;3;3.5;3.291666667;;0.680073525;Ja;Syndikatet;5%;Wit
Sommerspirets Lakrids Stout;E2020;2;0.5;4.5;2;4;;2;5;2;;5;5;4.5;4.5;3.5;3.416666667;;1.584297952;Nej;Bryghuset Møn;5.10%;Stout
Chrills Pils;E2020;3.5;3;3.5;3;3;;3;4.5;4;;5;5;5;4;4.0;3.875;;0.782623792;Ja;Goulden Brewery;5.90%;IPA
Alaryk. Biére d'Hiver;E2020;3;5.5;1.5;2.5;4;;4;1.5;4.5;;3;0.5;4;3.5;3.0;3.125;;1.46628783;Ja;Brasserie Artisanale;6%;Juleøl